,metro_area,Median_Home_Price_1_18,Median_Home_Price_2_18,Median_Home_Price_3_18,Median_Home_Price_4_18,Median_Home_Price_5_18,Median_Home_Price_6_18,Median_Home_Price_7_18,Median_Home_Price_8_18,Median_Home_Price_9_18,Median_Home_Price_10_18,Median_Home_Price_11_18,Median_Home_Price_12_18,Sales_Average_2018
38,"Milwaukee, WI",200550.0,193883.0,193900.0,201650.0,208317.0,219000.0,225000.0,230000.0,224550.0,218550.0,215571.0,211354.0,211860.41666666666
39,"Jacksonville, FL",234002.0,235250.0,234717.0,237582.0,240000.0,243333.0,248333.0,247500.0,244167.0,241833.0,244333.0,248243.0,241607.75
40,"Memphis, TN",165933.0,159967.0,159967.0,161667.0,173333.0,181333.0,187333.0,184000.0,179333.0,175000.0,173300.0,171633.0,172733.25
41,"Oklahoma City, OK",165333.0,165333.0,165833.0,169000.0,172244.0,172911.0,173911.0,173000.0,174333.0,174333.0,173667.0,172833.0,171060.91666666666
42,"Louisville, KY",174000.0,172333.0,170633.0,172467.0,177467.0,184167.0,190000.0,189917.0,184417.0,180083.0,178467.0,181300.0,179604.25
43,"Hartford, CT",211667.0,214633.0,217967.0,222967.0,225000.0,230667.0,236483.0,242283.0,234950.0,227467.0,217333.0,217333.0,224895.83333333334
44,"Richmond, VA",241167.0,239833.0,237858.0,242725.0,247725.0,253146.0,255779.0,255779.0,249167.0,243317.0,242983.0,246317.0,246316.33333333334
45,"New Orleans, LA",194817.0,194083.0,189417.0,188900.0,192983.0,199650.0,206333.0,206333.0,202167.0,196833.0,197317.0,198117.0,197245.83333333334
46,"Buffalo, NY",146000.0,144167.0,142567.0,142700.0,146200.0,150467.0,158983.0,163867.0,166533.0,162600.0,159883.0,154883.0,153237.5
47,"Raleigh, NC",270000.0,271000.0,271000.0,276333.0,279000.0,282633.0,283408.0,283408.0,282275.0,281000.0,282333.0,282500.0,278740.8333333333
48,"Birmingham, AL",184083.0,184750.0,184000.0,189300.0,196133.0,204973.0,207431.0,202564.0,198724.0,195346.0,195338.0,193988.0,194719.16666666666
49,"Salt Lake City, UT",294450.0,294783.0,302283.0,307000.0,314233.0,317567.0,322900.0,320967.0,317848.0,317815.0,317848.0,314967.0,311888.4166666667
50,"Rochester, NY",133833.0,134167.0,135667.0,138000.0,145167.0,150167.0,156167.0,155333.0,152667.0,149333.0,146667.0,145000.0,145180.66666666666
51,"Grand Rapids, MI",178333.0,177300.0,179967.0,183300.0,190967.0,196600.0,199900.0,199750.0,198783.0,196483.0,193233.0,190567.0,190431.91666666666
52,"Tucson, AZ",202667.0,200667.0,199000.0,203267.0,206267.0,207600.0,207622.0,208705.0,210748.0,212127.0,215343.0,214633.0,207387.16666666666
53,"Urban Honolulu, HI",591667.0,573333.0,561500.0,554833.0,563167.0,566667.0,579333.0,577500.0,579167.0,579833.0,578333.0,570000.0,572944.4166666666
54,"Tulsa, OK",163272.0,161688.0,160022.0,161612.0,164195.0,166528.0,167333.0,167000.0,165333.0,165000.0,164333.0,164167.0,164206.91666666666
55,"Fresno, CA",265000.0,267500.0,265833.0,269167.0,267333.0,271667.0,275000.0,276333.0,273667.0,273667.0,273333.0,275000.0,271125.0
56,"Worcester, MA",256000.0,251000.0,248333.0,250400.0,258217.0,271217.0,279150.0,281333.0,276700.0,268367.0,265033.0,260000.0,263812.5
57,"Stamford, CT",395000.0,397550.0,388883.0,393883.0,397667.0,426333.0,439667.0,445000.0,419500.0,392833.0,379467.0,384967.0,405062.5
58,"Albuquerque, NM",187000.0,185300.0,187633.0,195467.0,198833.0,203167.0,203333.0,204000.0,200667.0,197333.0,196633.0,198300.0,196472.16666666666
59,"Albany, NY",182667.0,182500.0,185667.0,192333.0,196833.0,200417.0,200417.0,202417.0,199833.0,196500.0,194833.0,190942.0,193779.91666666666
60,"Omaha, NE",176125.0,176500.0,177833.0,178667.0,182000.0,188000.0,194000.0,194000.0,193167.0,191500.0,192500.0,192667.0,186413.25
61,"New Haven, CT",214000.0,209667.0,207617.0,207617.0,216950.0,230000.0,236667.0,241000.0,233133.0,229133.0,218967.0,218167.0,221909.83333333334
62,"Bakersfield, CA",229667.0,229667.0,227833.0,230500.0,233000.0,236500.0,239167.0,240000.0,240000.0,238333.0,235667.0,232333.0,234388.91666666666
63,"Knoxville, TN",179169.0,179669.0,183386.0,187233.0,189067.0,189900.0,195000.0,194667.0,192967.0,192967.0,198300.0,199667.0,190166.0
64,"Greenville, SC",192667.0,191833.0,192833.0,191067.0,195567.0,199895.0,203662.0,201328.0,199531.0,196811.0,198899.0,201035.0,197094.0
65,"Ventura, CA",588333.0,576667.0,573333.0,576667.0,587333.0,602333.0,600667.0,600000.0,598333.0,605833.0,604167.0,598000.0,592638.8333333334
66,"Allentown, PA",182417.0,177250.0,176833.0,178500.0,188792.0,193792.0,198792.0,201808.0,198442.0,197442.0,193967.0,193750.0,190148.75
67,"El Paso, TX",153150.0,150817.0,150058.0,151753.0,154070.0,155161.0,156650.0,156853.0,156187.0,154837.0,154983.0,155983.0,154208.5
68,"Baton Rouge, LA",194894.0,198241.0,196417.0,199250.0,200567.0,202317.0,204233.0,203250.0,205223.0,203806.0,206373.0,204734.0,201608.75
69,"Dayton, OH",126083.0,125833.0,125083.0,132417.0,135633.0,142633.0,147717.0,147083.0,144333.0,138583.0,137883.0,137450.0,136727.58333333334
70,"McAllen, TX",140833.0,143667.0,141583.0,141417.0,142720.0,143137.0,144803.0,144667.0,144833.0,144417.0,144083.0,143583.0,143311.91666666666
71,"Columbia, SC",165143.0,165998.0,166998.0,169694.0,171363.0,174697.0,175967.0,174967.0,174400.0,173767.0,175433.0,174498.0,171910.41666666666
72,"Greensboro, NC",153500.0,149833.0,151183.0,155183.0,158850.0,161000.0,165333.0,165667.0,163365.0,158865.0,161865.0,157833.0,158539.75
73,"Akron, OH",135300.0,128600.0,123633.0,128667.0,136333.0,144833.0,147800.0,149250.0,148583.0,148917.0,151667.0,148800.0,141031.91666666666
74,"North Port, FL",275248.0,274248.0,270777.0,269195.0,269195.0,269679.0,272012.0,272012.0,271333.0,268000.0,269983.0,273650.0,271277.6666666667
75,"Little Rock, AR",157083.0,156363.0,156693.0,160360.0,163413.0,167917.0,169550.0,166867.0,163483.0,160933.0,163117.0,164550.0,162527.41666666666
76,"Stockton, CA",371667.0,373917.0,380583.0,385583.0,385000.0,381417.0,379750.0,384750.0,383333.0,384833.0,384833.0,391500.0,382263.8333333333
