,metro_area,per_capita_income
189,"Lafayette, IN",39969.0
190,"Lake Charles, LA",49011.0
191,"Lake Havasu City, AZ",33148.0
192,"Lakeland, FL",35463.0
193,"Lancaster, PA",52664.0
194,"Lansing, MI",41812.0
195,"Laredo, TX",31635.0
196,"Las Cruces, NM",36570.0
197,"Las Vegas, NV",47090.0
198,"Lawrence, KS",43642.0
199,"Lawton, OK",41509.0
200,"Lebanon, PA",48352.0
201,"Lewiston, ID",45368.0
202,"Lewiston, ME",41528.0
203,"Lexington, KY",47875.0
204,"Lima, OH",42816.0
205,"Lincoln, NE",49886.0
206,"Little Rock, AR",45512.0
207,"Logan, UT",38690.0
208,"Longview, TX",41630.0
209,"Longview, WA",44990.0
210,"Los Angeles, CA",63913.0
211,"Louisville, KY",50101.0
212,"Lubbock, TX",42181.0
213,"Lynchburg, VA",40374.0
214,"Macon, GA",41066.0
215,"Madera, CA",39897.0
216,"Madison, WI",59371.0
217,"Manchester, NH",61147.0
218,"Manhattan, KS",46008.0
219,"Mankato, MN",46141.0
220,"Mansfield, OH",39234.0
221,"McAllen, TX",26410.0
222,"Medford, OR",46603.0
223,"Memphis, TN",46620.0
224,"Merced, CA",38519.0
225,"Miami, FL",57228.0
226,"Michigan City, IN",42527.0
227,"Midland, MI",60467.0
228,"Midland, TX",122247.0
229,"Milwaukee, WI",57005.0
230,"Minneapolis, MN",62889.0
231,"Missoula, MT",49492.0
232,"Mobile, AL",38170.0
233,"Modesto, CA",44120.0
234,"Monroe, LA",40482.0
235,"Monroe, MI",47496.0
236,"Montgomery, AL",42943.0
237,"Morgantown, WV",42509.0
238,"Morristown, TN",35829.0
239,"Mount Vernon, WA",53060.0
240,"Muncie, IN",37201.0
241,"Muskegon, MI",39072.0
242,"Myrtle Beach, SC",38700.0
243,"Napa, CA",74984.0
244,"Naples, FL",92686.0
245,"Nashville, TN",57953.0
246,"New Bern, NC",43257.0
247,"New Haven, CT",56650.0
248,"New Orleans, LA",52431.0
249,"New York, NY",76681.0
250,"Niles, MI",47430.0
251,"North Port, FL",56462.0
252,"Norwich, CT",59264.0
253,"Ocala, FL",36997.0
254,"Ocean City, NJ",60877.0
255,"Odessa, TX",47271.0
256,"Ogden, UT",43988.0
257,"Oklahoma City, OK",48571.0
258,"Olympia, WA",51684.0
259,"Omaha, NE",58037.0
260,"Orlando, FL",43491.0
261,"Oshkosh, WI",48101.0
262,"Owensboro, KY",41387.0
263,"Oxnard, CA",61712.0
264,"Palm Bay, FL",45425.0
265,"Panama City, FL",43231.0
266,"Parkersburg, WV",41988.0
267,"Pensacola, FL",43259.0
268,"Peoria, IL",48870.0
269,"Philadelphia, PA",64440.0
270,"Phoenix, AZ",46125.0
271,"Pine Bluff, AR",34554.0
272,"Pittsburgh, PA",58072.0
273,"Pittsfield, MA",56503.0
